,RELIANCE,HDFC BANK,ICICI BANK,INFOSYS,HDFC,TCS,ITC,KOTAK,L&T,AXIS BANK,UNILEVER,SBI,AIRTEL,BAJAJ FINANCE,ASIAN PAINTS,M&M,HCL,MARUTI SUZUKI,SUN PHARMA,TITAN,BAJAJ FINSERV,TATA STEEL,ULTRATECH,NTPC,INDUSIND BANK,POWER GRID,NESTLE,TECH MAHINDRA,WIPRO,DR REDDY
0,2021-01-01 08:00:00,2021-01-06 08:00:00,2021-01-04 08:00:00,2021-01-04 08:00:00,2021-01-05 08:00:00,2021-01-12 08:00:00,2021-01-13 08:00:00,2021-01-11 08:00:00,2021-01-04 08:00:00,2021-01-11 08:00:00,2021-01-13 08:00:00,2021-01-07 08:00:00,2021-01-13 08:00:00,2021-01-05 08:00:00,2021-01-03 08:00:00,2021-01-01 08:00:00,2021-01-04 08:00:00,2021-01-04 14:50:55,2020-12-31 08:00:00,2021-01-11 08:00:00,2021-01-05 08:00:00,2021-01-05 08:00:00,2021-01-01 08:00:00,2021-01-14 08:00:00,2021-01-06 08:00:00,2021-01-12 08:00:00,2021-01-04 08:00:00,2021-01-12 08:00:00,2021-01-13 08:00:00,2021-01-11 08:00:00
1,2021-01-04 08:00:00,2021-01-13 08:00:00,2021-01-14 08:00:00,2021-01-13 08:00:00,2021-01-06 08:00:00,2021-01-13 19:36:49,2021-01-07 08:00:00,2020-12-30 08:00:00,2020-12-31 08:00:00,2021-01-06 08:00:00,2021-01-04 08:00:00,2021-01-08 08:00:00,2021-01-12 08:00:00,2021-01-05 08:00:00,2021-01-06 08:00:00,2020-12-31 08:00:00,2021-01-05 08:00:00,2021-01-01 08:00:00,2021-01-11 08:00:00,2021-01-01 08:00:00,2021-01-05 08:00:00,2021-01-07 08:00:00,2021-01-04 08:00:00,2021-01-12 08:00:00,2021-01-04 08:00:00,2021-01-04 08:00:00,2021-01-04 08:00:00,2021-01-07 08:00:00,2021-01-13 08:00:00,2021-01-11 08:00:00
2,2021-01-04 08:00:00,2021-01-08 08:00:00,2021-01-09 08:00:00,2021-01-13 08:00:00,2021-01-13 08:00:00,2021-01-06 08:00:00,2021-01-06 08:00:00,2021-01-08 08:00:00,2020-12-30 08:00:00,2021-01-13 08:00:00,2021-01-07 08:00:00,2021-01-05 08:00:00,2021-01-10 08:00:00,2021-01-06 08:00:00,2021-01-12 08:00:00,2021-01-01 08:00:00,2020-12-31 08:00:00,2021-01-06 08:00:00,2021-01-04 08:00:00,2021-01-07 08:00:00,2021-01-06 08:00:00,2020-12-31 08:00:00,2021-01-25 08:00:00,2021-01-13 08:00:00,2021-01-13 08:00:00,2021-01-06 08:00:00,2021-01-01 08:00:00,2021-01-05 08:00:00,2021-01-04 08:00:00,2021-01-08 08:00:00
3,2021-01-01 08:00:00,2021-01-05 08:00:00,2021-01-06 08:00:00,2021-01-13 08:00:00,2021-01-08 08:00:00,2021-01-08 08:00:00,2021-01-06 08:00:00,2021-01-12 08:00:00,2021-01-13 08:00:00,2021-01-12 08:00:00,2021-01-05 08:00:00,2021-01-10 08:00:00,2021-01-11 08:00:00,2021-01-06 08:00:00,2021-01-13 08:00:00,2021-01-12 08:00:00,2021-01-06 08:00:00,2021-01-07 08:00:00,2021-01-13 08:00:00,2021-01-08 08:00:00,2021-01-11 08:00:00,2021-01-12 08:00:00,2021-01-23 08:00:00,2020-12-31 08:00:00,2021-01-05 08:00:00,2021-01-06 08:00:00,2021-01-12 08:00:00,2021-01-13 08:00:00,2021-01-13 08:00:00,2021-01-06 08:00:00
4,2021-01-04 08:00:00,2021-01-06 08:00:00,2020-12-30 08:00:00,2021-01-05 08:00:00,2021-01-13 08:00:00,2021-01-04 08:00:00,2021-01-11 08:00:00,2020-12-30 08:00:00,2021-01-12 08:00:00,2021-01-03 08:00:00,2021-01-05 08:00:00,2021-01-10 08:00:00,2021-01-04 08:00:00,2021-01-13 08:00:00,2021-01-13 08:00:00,2021-01-04 08:00:00,2021-01-11 08:00:00,2021-01-12 08:00:00,2021-01-14 08:00:00,2021-01-10 08:00:00,2021-01-09 08:00:00,2021-01-08 08:00:00,2021-01-27 08:00:00,2021-01-06 08:00:00,2021-01-08 08:00:00,2021-01-04 15:07:28,2021-01-04 08:00:00,2021-01-05 08:00:00,2021-01-11 08:00:00,2021-01-10 08:00:00
5,2021-01-08 08:00:00,2021-01-09 08:00:00,2021-01-12 08:00:00,2021-01-13 08:00:00,2021-01-04 08:00:00,2021-01-13 08:00:00,2021-01-05 08:00:00,2021-01-01 08:00:00,2021-01-12 08:00:00,2020-12-30 08:00:00,2021-01-10 08:00:00,2021-01-13 08:00:00,2021-01-02 08:00:00,2021-01-05 08:00:00,2021-01-06 08:00:00,2021-01-13 08:00:00,2021-01-12 08:00:00,2021-01-11 08:00:00,2021-01-05 08:00:00,2021-01-12 08:00:00,2021-01-05 08:00:00,2021-01-02 08:00:00,2021-01-25 08:00:00,2021-01-08 08:00:00,2021-01-14 08:00:00,2021-01-05 08:00:00,2021-01-08 08:00:00,2021-01-08 08:00:00,2021-01-11 08:00:00,2021-01-03 08:00:00
6,2021-01-13 08:00:00,2021-01-07 08:00:00,2021-01-06 08:00:00,2021-01-13 08:00:00,2021-01-07 08:00:00,2021-01-07 08:00:00,2021-01-08 08:00:00,2021-01-12 08:00:00,2021-01-05 08:00:00,2021-01-06 08:00:00,2021-01-03 08:00:00,2020-12-31 08:00:00,2021-01-13 08:00:00,2021-01-06 08:00:00,2021-01-06 08:00:00,2021-01-13 08:00:00,2021-01-08 08:00:00,2020-12-31 08:00:00,2021-01-06 08:00:00,2020-12-31 08:00:00,2021-01-20 08:00:00,2021-01-07 08:00:00,2021-02-08 08:00:00,2021-01-11 08:00:00,2021-01-08 08:00:00,2021-01-13 08:00:00,2021-01-12 08:00:00,2021-01-08 08:00:00,2021-01-11 08:00:00,2021-01-10 08:00:00
7,2021-01-13 08:00:00,2021-01-06 08:00:00,2021-01-06 08:00:00,2021-01-11 08:00:00,2021-01-04 08:00:00,2021-01-13 08:00:00,2021-01-11 08:00:00,2021-01-11 08:00:00,2021-01-08 08:00:00,2021-01-05 08:00:00,2021-01-10 08:00:00,2021-01-05 08:00:00,2021-01-03 08:00:00,2021-01-09 08:00:00,2020-12-31 08:00:00,2021-01-13 08:00:00,2021-01-05 08:00:00,2021-01-08 08:00:00,2021-01-20 08:00:00,2021-01-09 08:00:00,2021-01-22 08:00:00,2021-01-07 08:00:00,2021-02-04 08:00:00,2020-12-31 08:00:00,2021-01-14 08:00:00,2021-01-11 08:00:00,2021-01-12 08:00:00,2021-01-07 08:00:00,2021-01-06 08:00:00,2021-01-11 08:00:00
8,2021-01-12 08:00:00,2021-01-06 08:00:00,2021-01-09 08:00:00,2021-01-12 08:00:00,2021-01-06 08:00:00,2021-01-09 07:58:06,2021-01-02 08:00:00,2021-01-07 08:00:00,2021-01-11 08:00:00,2021-01-05 08:00:00,2021-01-04 08:00:00,2021-01-12 08:00:00,2021-01-12 08:00:00,2020-12-30 08:00:00,2021-01-11 08:00:00,2022-02-01 16:45:20,2021-01-12 08:00:00,2021-01-13 08:00:00,2021-01-21 08:00:00,2021-01-09 08:00:00,2021-01-23 08:00:00,2021-01-11 08:00:00,2021-02-03 08:00:00,2021-01-03 08:00:00,2021-01-20 08:00:00,2021-01-08 08:00:00,2021-01-09 08:00:00,2021-01-12 08:00:00,2021-01-04 08:00:00,2021-01-12 08:00:00
9,2021-01-13 08:00:00,2021-01-12 08:00:00,2021-01-14 08:00:00,2021-01-11 08:00:00,2021-01-09 08:00:00,2021-01-06 08:00:00,2021-01-04 08:00:00,2021-01-12 08:00:00,2021-01-07 08:00:00,2020-12-30 08:00:00,2021-01-04 08:00:00,2021-01-07 08:00:00,2021-01-06 08:00:00,2021-01-01 08:00:00,2021-01-13 08:00:00,2021-01-27 08:00:00,2021-01-05 08:00:00,2021-01-13 08:00:00,2021-02-11 08:00:00,2021-01-03 08:00:00,2021-01-27 08:00:00,2021-01-09 08:00:00,2021-02-02 08:00:00,2021-01-10 08:00:00,2021-01-22 08:00:00,2021-01-08 08:00:00,2021-01-07 08:00:00,2021-01-08 08:00:00,2020-12-31 08:00:00,2021-01-05 08:00:00
